# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	975305
#@/user_id	config_yamls
a 	啊	c=4269 d=4.42228 t=975299
keng si 	坑死	c=3 d=9.16988e-100 t=975297
keng si ren 	坑死人	c=1 d=2.07248e-45 t=975297
keng si wo 	坑死我	c=1 d=3.36037e-171 t=975297
keng wei 	坑位	c=43 d=2.21821e-20 t=975297
kong 	孔	c=22 d=1.00307e-36 t=975297
kong 	恐	c=1 d=0 t=975297
kong 	控	c=12 d=4.05024e-15 t=975297
kong 	空	c=97 d=0.251579 t=975297
kong bai 	空白	c=24 d=5.62424e-125 t=975297
kong bu 	恐怖	c=30 d=2.17341e-74 t=975297
kong bu ru si 	恐怖如斯	c=1 d=0 t=975297
kong che 	空車	c=3 d=5.60434e-71 t=975297
kong chu 	空出	c=3 d=0 t=975297
kong chuan 	空串	c=2 d=6.89728e-72 t=975297
kong chuang qi 	空窗期	c=1 d=2.14135e-105 t=975297
kong dang 	空檔	c=6 d=3.0468e-195 t=975297
kong dang qi 	空檔期	c=1 d=0 t=975297
kong fan 	空泛	c=1 d=1.72338e-21 t=975297
kong fang zhe 	空放着	c=1 d=1.11678e-64 t=975297
kong fu 	空腹	c=2 d=2.53772e-103 t=975297
kong ge 	空格	c=20 d=6.61159e-74 t=975297
kong gong 	恐共	c=1 d=2.31678e-149 t=975297
kong gu 	控股	c=1 d=8.95471e-55 t=975297
kong hua 	空話	c=1 d=2.33385e-59 t=975297
kong jian 	控件	c=15 d=3.7126e-42 t=975297
kong jian 	空間	c=250 d=0.0639279 t=975297
kong jiang 	空降	c=3 d=2.5224e-120 t=975297
kong jie 	空姐	c=1 d=3.79191e-210 t=975297
kong ju 	恐懼	c=3 d=0 t=975297
kong ju zheng 	恐懼症	c=1 d=4.57894e-76 t=975297
kong jun 	空軍	c=1 d=0 t=975297
kong ke 	控客	c=9 d=7.76338e-44 t=975297
kong le 	空了	c=1 d=0 t=975297
kong liao 	空聊	c=1 d=1.14634e-136 t=975297
kong long 	恐龍	c=0 d=0 t=975297
kong ming 	孔明	c=1 d=0 t=975297
kong pa 	恐怕	c=113 d=0.000970255 t=975297
kong pa shi 	恐怕是	c=3 d=1.07252e-147 t=975297
kong ping 	控評	c=3 d=2.57404e-35 t=975297
kong qi 	空氣	c=51 d=1.2418e-40 t=975297
kong qi hao 	空氣好	c=1 d=0 t=975297
kong qi jing hua qi 	空氣淨化器	c=4 d=1.20486e-16 t=975297
kong qi qing xin 	空氣清新	c=1 d=2.05222e-193 t=975297
kong qian 	空前	c=1 d=9.37265e-121 t=975297
kong que 	空缺	c=11 d=5.60234e-43 t=975297
kong shen 	空身	c=2 d=0 t=975297
kong shou 	空手	c=2 d=1.1373e-82 t=975297
kong shou dao 	空手道	c=1 d=1.48455e-208 t=975297
kong tian 	控天	c=2 d=9.39752e-64 t=975297
kong tiao 	空調	c=90 d=1.17108e-05 t=975297
kong tiao shan 	空調扇	c=1 d=0 t=975297
kong tie 	空鐵	c=1 d=1.23344e-174 t=975297
kong tou 	空投	c=5 d=3.30337e-205 t=975297
kong wei 	空位	c=2 d=1.06464e-266 t=975297
kong wen 	控溫	c=1 d=1.46037e-249 t=975297
kong wen zhang 	空文章	c=1 d=0 t=975297
kong xian 	空閒	c=22 d=1.53184e-76 t=975297
kong xiang 	空想	c=1 d=0 t=975297
kong xin 	空心	c=2 d=7.02061e-104 t=975297
kong xu 	空虛	c=4 d=3.50963e-06 t=975297
kong you 	恐有	c=2 d=1.1272e-85 t=975297
kong you 	空有	c=2 d=0 t=975297
kong zhe 	空着	c=9 d=3.87796e-33 t=975297
kong zhi 	控制	c=338 d=0.121846 t=975297
kong zhi 	空置	c=4 d=2.9491e-47 t=975297
kong zhi ceng 	控制層	c=1 d=1.32787e-42 t=975297
kong zhi hao 	控制好	c=1 d=4.55315e-39 t=975297
kong zhi li 	控制力	c=1 d=0 t=975297
kong zhi qi 	控制器	c=4 d=5.62397e-78 t=975297
kong zhi tai 	控制檯	c=74 d=1.15761e-16 t=975297
kong zhi yu 	控制慾	c=1 d=3.02202e-99 t=975297
kong zhuan 	空轉	c=1 d=5.46132e-61 t=975297
kong zi duan 	空字段	c=1 d=1.17452e-157 t=975297
kou 	口	c=21 d=2.81549e-31 t=975297
kou 	釦	c=49 d=7.62187e-12 t=975297
kou an 	口岸	c=6 d=0 t=975297
kou bei 	口碑	c=8 d=6.19888e-257 t=975297
kou cai 	口才	c=5 d=6.1952e-44 t=975297
kou cheng 	釦成	c=1 d=7.44912e-07 t=975297
kou chi 	口齒	c=2 d=2.68733e-59 t=975297
kou chu 	扣除	c=2 d=2.07921e-229 t=975297
kou chu lai 	摳出來	c=1 d=8.12992e-124 t=975297
kou dai 	口袋	c=2 d=1.44582e-102 t=975297
kou dao 	口到	c=0 d=0 t=975297
kou dao dian 	口到點	c=1 d=0 t=975297
kou diao 	扣掉	c=2 d=1.54618e-68 t=975297
kou ding 	釦丁	c=5 d=9.89385e-140 t=975297
kou fei 	扣費	c=4 d=1.18894e-36 t=975297
kou fen 	扣分	c=2 d=0 t=975297
kou fu 	口服	c=1 d=0 t=975297
kou fu 	口福	c=4 d=1.77407e-156 t=975297
kou gan 	口感	c=3 d=5.39411e-33 t=975297
kou hao 	口號	c=3 d=4.54927e-29 t=975297
kou hao shi 	口號是	c=1 d=1.65633e-201 t=975297
kou hong 	口紅	c=3 d=0 t=975297
kou jie 	釦接	c=1 d=0 t=975297
kou jin 	口勁	c=8 d=4.86804e-61 t=975297
kou jing 	口徑	c=7 d=2.87619e-76 t=975297
kou ke 	口渴	c=1 d=0 t=975297
kou kou 	口口	c=10 d=5.48683e-57 t=975297
kou kou 	扣扣	c=3 d=5.01223e-169 t=975297
kou kou xiang chuan 	扣扣相傳	c=1 d=0 t=975297
kou kuan 	扣款	c=2 d=1.60083e-153 t=975297
kou li 	口裏	c=3 d=0 t=975297
kou liang 	口糧	c=2 d=0 t=975297
kou ling 	口令	c=4 d=3.35805e-16 t=975297
kou men 	摳門	c=2 d=1.47378e-92 t=975297
kou qi 	口氣	c=1 d=9.65285e-145 t=975297
kou qian 	扣錢	c=7 d=1.20818e-19 t=975297
kou shi 	口試	c=7 d=4.54414e-127 t=975297
kou shu 	口述	c=8 d=7.84394e-232 t=975297
kou shui 	口水	c=6 d=2.15159e-37 t=975297
kou shui 	扣稅	c=23 d=2.13966e-37 t=975297
kou tou 	口頭	c=14 d=1.62916e-36 t=975297
kou tou chan 	口頭禪	c=1 d=3.52665e-151 t=975297
kou wei 	口味	c=19 d=1.47824e-10 t=975297
kou xia 	扣下	c=1 d=1.75999e-33 t=975297
kou yu 	口語	c=5 d=3.42461e-41 t=975297
kou za 	口雜	c=1 d=7.83212e-38 t=975297
kou zai 	扣在	c=0 d=0 t=975297
kou zai zhe li 	扣在這裏	c=1 d=0 t=975297
kou zhao 	口罩	c=53 d=2.4001e-06 t=975297
kou zhong 	口中	c=5 d=3.95684e-64 t=975297
kou zi 	口子	c=17 d=2.91181e-15 t=975297
ku 	哭	c=13 d=1.45747e-20 t=975297
ku 	庫	c=603 d=0.212216 t=975297
ku 	苦	c=17 d=9.31192e-23 t=975297
ku 	酷	c=14 d=2.591e-24 t=975297
ku bi 	苦逼	c=9 d=7.08703e-09 t=975297
ku bi zi 	哭鼻子	c=1 d=0 t=975297
ku bu kan yan 	苦不堪言	c=2 d=1.40457e-85 t=975297
ku cha 	褲衩	c=1 d=0 t=975297
ku cun 	庫存	c=13 d=6.42817e-24 t=975297
ku di yu 	庫低於	c=1 d=0 t=975297
ku fang 	庫房	c=1 d=0 t=975297
ku gan 	苦幹	c=1 d=5.73157e-41 t=975297
ku gou 	酷狗	c=4 d=5.55148e-24 t=975297
ku gua 	苦瓜	c=2 d=0 t=975297
ku hai 	苦海	c=1 d=0 t=975297
ku ke 	庫克	c=2 d=0 t=975297
ku lao 	苦勞	c=1 d=0 t=975297
ku le 	苦了	c=1 d=0 t=975297
ku le jia 	苦了加	c=2 d=0 t=975297
ku ming 	苦命	c=1 d=0 t=975297
ku nei 	庫內	c=1 d=0 t=975297
ku qi 	哭泣	c=1 d=2.63062e-173 t=975297
ku qiong 	哭窮	c=1 d=0 t=975297
ku ri zi 	苦日子	c=1 d=0 t=975297
ku rui 	酷睿	c=2 d=4.75451e-195 t=975297
ku se 	苦澀	c=2 d=0 t=975297
ku shu 	酷暑	c=1 d=0 t=975297
ku wan 	酷玩	c=3 d=2.10601e-27 t=975297
ku xiao 	苦笑	c=2 d=1.3445e-12 t=975297
ku yu 	苦於	c=2 d=0 t=975297
ku yun 	庫雲	c=1 d=0 t=975297
ku zao 	枯燥	c=1 d=0 t=975297
ku zhong 	苦衷	c=1 d=3.77553e-71 t=975297
ku zi 	褲子	c=15 d=2.77839e-22 t=975297
kua 	誇	c=3 d=1.1347e-163 t=975297
kua 	跨	c=53 d=1.35427e-09 t=975297
kua bu men 	跨部門	c=7 d=7.6468e-21 t=975297
kua di yu 	跨地域	c=12 d=2.9757e-35 t=975297
kua diao 	垮掉	c=1 d=2.06326e-21 t=975297
kua du 	跨度	c=1 d=6.05995e-20 t=975297
kua duan 	跨端	c=104 d=0.00112497 t=975297
kua gui dui 	跨歸隊	c=1 d=0 t=975297
kua guo 	跨國	c=1 d=3.59591e-27 t=975297
kua hang 	跨行	c=2 d=8.84516e-116 t=975297
kua kua 	誇誇	c=0 d=1.15892e-89 t=975297
kua kua ni 	誇誇你	c=1 d=1.16473e-88 t=975297
kua kuang jia 	跨框架	c=2 d=4.12297e-136 t=975297
kua lan 	跨欄	c=1 d=3.50134e-272 t=975297
kua nian 	跨年	c=1 d=0 t=975297
kua ping tai 	跨平臺	c=4 d=3.25714e-10 t=975297
kua sheng 	跨省	c=3 d=2.72338e-22 t=975297
kua tuan dui 	跨團隊	c=5 d=6.635e-204 t=975297
kua wo 	誇我	c=1 d=9.43346e-197 t=975297
kua yi 	誇一	c=1 d=0 t=975297
kua ying yong 	跨應用	c=1 d=0 t=975297
kua yu 	跨域	c=46 d=5.2502e-09 t=975297
kua yuan 	跨院	c=1 d=5.70631e-136 t=975297
kua yue 	跨月	c=1 d=0 t=975297
kua yue 	跨越	c=1 d=0 t=975297
kua zhang 	誇張	c=3 d=1.87559e-193 t=975297
kuai 	塊	c=108 d=0.0231676 t=975297
kuai 	快	c=296 d=4.04526e-05 t=975297
kuai ban 	快班	c=1 d=0 t=975297
kuai che 	快車	c=2 d=7.99501e-134 t=975297
kuai chu 	快出	c=1 d=0 t=975297
kuai dao 	快到	c=11 d=3.7947e-13 t=975297
kuai dao le 	快到了	c=3 d=4.0829e-80 t=975297
kuai dao qi 	快到期	c=2 d=0 t=975297
kuai di 	快遞	c=128 d=0.00679519 t=975297
kuai di gui 	快遞貴	c=3 d=0 t=975297
kuai di yuan 	快遞員	c=2 d=0 t=975297
kuai dian 	快點	c=20 d=4.13263e-46 t=975297
kuai dian qu 	快點去	c=1 d=0 t=975297
kuai dian zou 	快點走	c=1 d=0 t=975297
kuai du 	快讀	c=1 d=2.77794e-167 t=975297
kuai duo 	塊多	c=1 d=0 t=975297
kuai gan shang 	快趕上	c=1 d=2.78321e-13 t=975297
kuai guo 	快過	c=0 d=4.19071e-211 t=975297
kuai guo nian 	快過年	c=3 d=8.50647e-186 t=975297
kuai ji 	會計	c=12 d=1.10816e-17 t=975297
kuai jie 	快捷	c=19 d=1.56632e-05 t=975297
kuai jie jian 	快捷鍵	c=1 d=3.18704e-195 t=975297
kuai jie zou 	快節奏	c=1 d=6.84267e-243 t=975297
kuai kai shi 	快開始	c=1 d=3.81258e-127 t=975297
kuai kuai 	塊塊	c=0 d=0 t=975297
kuai lai 	快來	c=2 d=3.20135e-42 t=975297
kuai le 	快了	c=2 d=3.97139e-19 t=975297
kuai le 	快樂	c=48 d=0.00175421 t=975297
kuai le me 	快了麼	c=1 d=0 t=975297
kuai le ri 	快樂日	c=2 d=3.97613e-33 t=975297
kuai le shui 	快樂水	c=1 d=2.92684e-193 t=975297
kuai man 	快慢	c=1 d=0 t=975297
kuai nan 	快男	c=5 d=5.19619e-05 t=975297
kuai pai 	快排	c=1 d=0 t=975297
kuai pi 	快批	c=2 d=7.04192e-169 t=975297
kuai qian 	塊錢	c=39 d=4.55547e-45 t=975297
kuai shan 	快閃	c=1 d=8.4101e-199 t=975297
kuai shang che 	快上車	c=1 d=0 t=975297
kuai sheng 	快升	c=1 d=2.049e-57 t=975297
kuai shou 	快手	c=22 d=1.05306e-20 t=975297
kuai su 	快速	c=103 d=5.11966e-17 t=975297
kuai wan la 	快完啦	c=1 d=1.23583e-138 t=975297
kuai wan le 	快完了	c=4 d=1.10202e-84 t=975297
kuai xia 	快下	c=1 d=2.7434e-255 t=975297
kuai xia ban 	快下班	c=1 d=1.28128e-63 t=975297
kuai xian 	快線	c=1 d=7.5579e-148 t=975297
kuai yao 	快要	c=6 d=2.90943e-40 t=975297
kuai yi dian 	快一點	c=3 d=0 t=975297
kuai yi ge yue 	快一個月	c=1 d=2.02591e-12 t=975297
kuai zhao 	快照	c=8 d=8.86174e-138 t=975297
kuai zi 	筷子	c=5 d=3.75107e-24 t=975297
kuai zou 	快走	c=0 d=7.35376e-121 t=975297
kuai zou bu dong 	快走不動	c=1 d=7.39062e-120 t=975297
kuan 	寬	c=20 d=2.39921e-32 t=975297
kuan 	款	c=62 d=4.938e-13 t=975297
kuan dai 	寬帶	c=45 d=4.07124e-17 t=975297
kuan dai 	款待	c=2 d=0 t=975297
kuan di 	款底	c=1 d=0 t=975297
kuan du 	寬度	c=30 d=1.74361e-29 t=975297
kuan fan 	寬泛	c=2 d=0 t=975297
kuan gao 	寬高	c=9 d=1.02672e-163 t=975297
kuan gao du 	寬高度	c=3 d=4.90836e-31 t=975297
kuan guang 	寬廣	c=1 d=4.04817e-09 t=975297
kuan ping 	寬屏	c=2 d=1.541e-293 t=975297
kuan shi 	款式	c=4 d=3.01605e-17 t=975297
kuan song 	寬鬆	c=9 d=3.49405e-130 t=975297
kuan xian 	寬限	c=3 d=0 t=975297
kuan xiang 	款項	c=6 d=2.94339e-83 t=975297
kuan yu 	寬裕	c=5 d=3.45343e-257 t=975297
kuan zhi shu 	款指數	c=1 d=0 t=975297
kuang 	曠	c=1 d=8.61532e-71 t=975297
kuang 	框	c=36 d=3.26269e-30 t=975297
kuang 	況	c=1 d=0 t=975297
kuang 	狂	c=10 d=1.40395e-10 t=975297
kuang 	礦	c=1 d=0 t=975297
kuang ao 	狂傲	c=1 d=1.27846e-184 t=975297
kuang ben 	狂奔	c=1 d=3.31112e-115 t=975297
kuang chi 	礦池	c=2 d=0 t=975297
kuang chu 	框出	c=1 d=5.2542e-253 t=975297
kuang dian 	狂點	c=2 d=0 t=975297
kuang die 	狂跌	c=1 d=0 t=975297
kuang gong 	礦工	c=4 d=9.27879e-179 t=975297
kuang ji 	礦機	c=1 d=0 t=975297
kuang jia 	框架	c=325 d=0.0605373 t=975297
kuang jia ceng 	框架層	c=4 d=1.00899e-17 t=975297
kuang kua 	框跨	c=1 d=0 t=975297
kuang kuang 	框框	c=21 d=2.64161e-32 t=975297
kuang qie 	況且	c=6 d=4.76206e-08 t=975297
kuang quan shui 	礦泉水	c=8 d=7.67219e-295 t=975297
kuang yu 	誑語	c=1 d=6.13277e-131 t=975297
kuang zao 	狂躁	c=5 d=8.78394e-05 t=975297
kuang zhang 	狂漲	c=1 d=0 t=975297
kui 	奎	c=2 d=0 t=975297
kui 	虧	c=22 d=1.88407e-11 t=975297
kui ben 	虧本	c=1 d=0 t=975297
kui dian 	虧電	c=1 d=0 t=975297
kui dui 	愧對	c=1 d=0 t=975297
kui fa 	匱乏	c=1 d=0 t=975297
kui ge 	奎哥	c=1 d=0 t=975297
kui hua 	葵花	c=2 d=5.65507e-31 t=975297
kui jiu 	愧疚	c=1 d=0 t=975297
kui le 	虧了	c=1 d=5.66567e-52 t=975297
kui mei 	虧沒	c=1 d=0 t=975297
kui ni 	虧你	c=1 d=6.53637e-28 t=975297
kui qian 	虧錢	c=3 d=0 t=975297
kui si 	虧死	c=1 d=0 t=975297
kui sun 	虧損	c=7 d=9.22453e-155 t=975297
kui yang 	潰瘍	c=1 d=8.22222e-51 t=975297
kun 	困	c=5 d=1.55239e-27 t=975297
kun 	坤	c=399 d=1.6122 t=975297
kun 	鯤	c=27 d=1.07003e-61 t=975297
kun chao 	鯤潮	c=10 d=5.46243e-34 t=975297
kun huo 	困惑	c=1 d=0 t=975297
kun kun 	坤坤	c=10 d=2.24203e-28 t=975297
kun me 	困麼	c=1 d=8.72952e-167 t=975297
kun nan 	困難	c=48 d=0.379083 t=975297
kun nan duo 	困難多	c=1 d=1.70804e-151 t=975297
kun rao 	困擾	c=4 d=3.59079e-69 t=975297
kun xiang 	坤想	c=3 d=4.49701e-187 t=975297
kun xiang 	坤香	c=24 d=4.21955e-23 t=975297
kun yi 	睏意	c=1 d=0 t=975297
kun yin 	坤銀	c=80 d=0.0728029 t=975297
kun zai 	困在	c=1 d=0 t=975297
kun zhu 	困住	c=1 d=5.50014e-203 t=975297
kun zong 	坤總	c=1 d=0 t=975297
kuo 	括	c=1 d=1.38568e-14 t=975297
kuo cheng 	括成	c=1 d=0 t=975297
kuo chong 	擴充	c=11 d=7.73317e-153 t=975297
kuo da 	擴大	c=10 d=1.16243e-06 t=975297
kuo hao 	括號	c=3 d=1.98035e-156 t=975297
kuo jian 	擴建	c=1 d=2.2602e-211 t=975297
kuo rong 	擴容	c=21 d=3.62702e-187 t=975297
kuo yi 	闊以	c=88 d=4.29777e-07 t=975297
kuo yi kuo yi 	闊以闊以	c=2 d=2.27052e-147 t=975297
kuo yi wa 	闊以哇	c=1 d=0 t=975297
kuo zhan 	擴展	c=231 d=0.00036159 t=975297
kuo zhan xing 	擴展性	c=8 d=4.69577e-41 t=975297
kuo zhang 	擴張	c=3 d=2.16147e-68 t=975297
kuo zhao 	擴招	c=6 d=3.09328e-226 t=975297
la 	啦	c=588 d=0.310901 t=975297
la 	拉	c=405 d=0.0569831 t=975297
la 	辣	c=11 d=3.8249e-18 t=975297
la ba 	喇叭	c=11 d=6.11798e-14 t=975297
la ba 	辣吧	c=1 d=3.80582e-18 t=975297
la bai 	蠟白	c=1 d=3.90831e-154 t=975297
la ban 	蠟版	c=1 d=4.32022e-127 t=975297
la bang jie pai 	拉幫結派	c=1 d=0 t=975297
la bao 	拉包	c=32 d=0.000118571 t=975297
la bu dao 	拉不到	c=39 d=0.000166586 t=975297
la bu dong 	拉不動	c=1 d=4.3211e-100 t=975297
la bu liao 	拉不了	c=1 d=0 t=975297
la bu xia 	拉不下	c=1 d=1.84031e-58 t=975297
la chang 	拉長	c=3 d=4.13417e-21 t=975297
la chang 	臘腸	c=1 d=0 t=975297
la che 	拉扯	c=2 d=9.54187e-155 t=975297
la chou hen 	拉仇恨	c=1 d=4.21113e-179 t=975297
la chu 	拉出	c=4 d=9.69063e-43 t=975297
la chu lai 	拉出來	c=1 d=0 t=975297
la cuo 	拉錯	c=2 d=5.34663e-77 t=975297
la dao 	拉倒	c=1 d=0 t=975297
la dao 	拉到	c=69 d=5.98213e-15 t=975297
la dao qun 	拉到羣	c=1 d=3.18932e-174 t=975297
la de 	拉的	c=1 d=0 t=975297
la de dao 	拉的到	c=1 d=0 t=975297
la di 	拉底	c=3 d=0 t=975297
la dong 	拉動	c=5 d=3.93707e-157 t=975297
la du zi 	拉肚子	c=2 d=0 t=975297
la fei 	拉斐	c=8 d=5.40589e-88 t=975297
la feng 	拉風	c=2 d=4.85134e-50 t=975297
la gan 	拉杆	c=0 d=2.07311e-78 t=975297
la gan xiang 	拉杆箱	c=1 d=2.08351e-77 t=975297
la gao 	拉高	c=2 d=6.91866e-79 t=975297
la ge 	拉個	c=48 d=0.20089 t=975297
la ge hui 	拉個會	c=12 d=4.1872e-81 t=975297
la ge qun 	拉個羣	c=14 d=6.09324e-55 t=975297
la ge ren 	拉個人	c=1 d=0 t=975297
la gou 	拉鉤	c=1 d=0 t=975297
la guo 	拉過	c=2 d=2.79214e-80 t=975297
la guo lai 	拉過來	c=1 d=2.71989e-242 t=975297
la guo qu 	拉過去	c=1 d=0 t=975297
la hao 	拉好	c=1 d=0 t=975297
la hei 	拉黑	c=10 d=1.92384e-143 t=975297
la hui 	拉會	c=36 d=3.20582e-29 t=975297
la hui lai 	拉回來	c=2 d=2.87738e-169 t=975297
la huo 	拉貨	c=1 d=1.1089e-69 t=975297
la huo er 	拉活兒	c=1 d=0 t=975297
la ji 	垃圾	c=45 d=4.17914e-60 t=975297
la ji ge ren 	拉幾個人	c=1 d=1.68645e-119 t=975297
la ji tong 	垃圾桶	c=3 d=6.32029e-212 t=975297
la jiang 	辣醬	c=1 d=4.68657e-114 t=975297
la jiao 	辣椒	c=6 d=6.84283e-67 t=975297
la jin 	拉近	c=3 d=3.97625e-05 t=975297
la jin lai 	拉進來	c=13 d=2.92657e-11 t=975297
la jin lai le 	拉進來了	c=1 d=2.70703e-10 t=975297
la jin qu 	拉進去	c=8 d=2.60806e-13 t=975297
la jin qun 	啦進羣	c=1 d=2.83406e-167 t=975297
la jin qun 	拉近羣	c=1 d=0.000399619 t=975297
la kai 	拉開	c=4 d=0 t=975297
la ke 	拉克	c=18 d=4.90063e-13 t=975297
la ke 	拉客	c=1 d=0 t=975297
la kua 	拉跨	c=4 d=5.65315e-26 t=975297
la la 	拉拉	c=4 d=2.22812e-43 t=975297
la la la 	啦啦啦	c=1 d=1.93251e-133 t=975297
la lai 	拉來	c=2 d=1.35623e-261 t=975297
la le 	拉了	c=4 d=3.67117e-06 t=975297
la le ge 	拉了個	c=1 d=5.29738e-26 t=975297
la lian 	拉鍊	c=2 d=0 t=975297
la liu 	拉流	c=2 d=0 t=975297
la ma 	辣媽	c=1 d=0 t=975297
la man 	拉慢	c=3 d=0 t=975297
la ni 	拉你	c=73 d=0.000796726 t=975297
la ni men 	拉你們	c=1 d=7.75615e-276 t=975297
la ni qu 	拉你去	c=1 d=0 t=975297
la ni yi qi 	拉你一起	c=1 d=0 t=975297
la pi tiao 	拉皮條	c=1 d=0 t=975297
la piao 	拉票	c=2 d=0 t=975297
la ping 	拉平	c=1 d=0 t=975297
la qi 	拉起	c=1 d=4.93909e-55 t=975297
la qi 	拉齊	c=19 d=2.5068e-13 t=975297
la qi lai 	拉起來	c=1 d=1.48737e-53 t=975297
la qi le 	拉起了	c=1 d=0 t=975297
la qu 	拉去	c=2 d=1.81027e-123 t=975297
la qu 	拉取	c=97 d=0.0761538 t=975297
la qu dao 	拉取到	c=1 d=0 t=975297
la qu yi chang 	拉取異常	c=1 d=4.04683e-152 t=975297
la qu zui xin 	拉取最新	c=1 d=1.32107e-158 t=975297
la qun 	拉羣	c=18 d=1.04115e-23 t=975297
la qun li 	拉羣裏	c=1 d=0 t=975297
la ren 	拉人	c=6 d=1.39294e-66 t=975297
la rou 	臘肉	c=9 d=5.18726e-157 t=975297
la shang 	拉上	c=19 d=6.91889e-50 t=975297
la shang ni 	拉上你	c=3 d=1.15283e-173 t=975297
la sheng 	拉昇	c=2 d=3.30492e-93 t=975297
la shi 	拉屎	c=1 d=8.5343e-195 t=975297
la ta 	拉他	c=5 d=4.61208e-102 t=975297
la tiao 	辣條	c=5 d=1.57902e-80 t=975297
la tie 	拉貼	c=1 d=0 t=975297
la tong 	拉通	c=57 d=0.00388746 t=975297
la tong le 	拉通了	c=1 d=5.91397e-86 t=975297
la tu 	拉圖	c=1 d=3.23786e-234 t=975297
la wan 	拉完	c=3 d=8.70366e-44 t=975297
la wan qun 	拉完羣	c=1 d=4.83458e-215 t=975297
la wo 	拉我	c=24 d=1.0105e-64 t=975297
la wo xia 	拉我下	c=1 d=7.41005e-239 t=975297
la wo yi xia 	拉我一下	c=2 d=4.68179e-102 t=975297
la xi 	拉稀	c=4 d=2.17577e-28 t=975297
la xia 	拉下	c=19 d=3.75551e-06 t=975297
la xia ba 	拉下吧	c=1 d=3.77321e-05 t=975297
la xia lai 	拉下來	c=7 d=0.000448321 t=975297
la xia lian 	拉下臉	c=2 d=2.45534e-09 t=975297
la xia qu 	拉下去	c=0 d=3.85533e-24 t=975297
la xia qu le 	拉下去了	c=1 d=3.87466e-23 t=975297
la xia wo 	拉下我	c=1 d=7.8447e-145 t=975297
la xin 	拉新	c=17 d=2.05879e-172 t=975297
la yan jing 	辣眼睛	c=1 d=3.48099e-86 t=975297
la yi 	拉一	c=0 d=1.35866e-48 t=975297
la yi bian 	拉一遍	c=1 d=0 t=975297
la yi ci 	拉一次	c=1 d=0 t=975297
la yi ge 	拉一個	c=1 d=1.36547e-47 t=975297
la yi xia 	啦一下	c=3 d=1.2818e-09 t=975297
la yi xia 	拉一下	c=1 d=4.35951e-204 t=975297
la yue 	臘月	c=4 d=6.4435e-183 t=975297
la zhe 	拉着	c=7 d=3.36309e-63 t=975297
la zhi 	臘汁	c=3 d=0 t=975297
la zou 	拉走	c=2 d=3.52425e-143 t=975297
lai 	來	c=1410 d=0.980199 t=975297
lai 	賴	c=3 d=2.55426e-150 t=975297
lai a 	來啊	c=2 d=0 t=975297
lai an suan 	賴氨酸	c=1 d=7.67244e-266 t=975297
lai ba 	來吧	c=30 d=2.67545e-19 t=975297
lai bei 	來唄	c=2 d=3.96924e-42 t=975297
lai bei 	來杯	c=1 d=0 t=975297
lai bei jing 	來北京	c=1 d=1.3495e-85 t=975297
lai bu ji 	來不及	c=46 d=6.41042e-05 t=975297
lai bu ji le 	來不及了	c=1 d=6.71838e-292 t=975297
lai bu lai 	來不來	c=16 d=1.14255e-09 t=975297
lai bu liao 	來不了	c=18 d=5.86448e-101 t=975297
lai ce shi 	來測試	c=1 d=1.66791e-136 t=975297
lai chi 	來遲	c=1 d=0 t=975297
lai dao 	來到	c=1 d=0 t=975297
lai de 	來的	c=2 d=8.7055e-165 t=975297
lai de ji 	來得及	c=33 d=0.000796726 t=975297
lai de liao 	來的了	c=1 d=0 t=975297
lai de zao 	來的早	c=2 d=8.74914e-164 t=975297
lai dei ji 	來得及	c=18 d=4.0943e-55 t=975297
lai dei tai kuai 	來得太快	c=1 d=0 t=975297
lai dian 	來電	c=3 d=1.44125e-06 t=975297
lai dian 	來點	c=2 d=1.5597e-25 t=975297
lai du 	來度	c=1 d=0 t=975297
lai fen 	來分	c=1 d=3.72478e-147 t=975297
lai fen zhong 	來分鐘	c=5 d=3.58094e-213 t=975297
lai fo 	來佛	c=5 d=7.42833e-120 t=975297
lai fo shan 	來佛山	c=1 d=3.80974e-177 t=975297
lai gai 	來改	c=1 d=0 t=975297
lai gan 	來幹	c=1 d=3.56536e-103 t=975297
lai gao 	來搞	c=12 d=8.17425e-41 t=975297
lai gao 	來稿	c=2 d=0 t=975297
lai ge 	來個	c=24 d=1.26706e-20 t=975297
lai ge ren 	來個人	c=4 d=4.81275e-169 t=975297
lai gei ni 	來給你	c=1 d=1.75879e-25 t=975297
lai gen 	來跟	c=1 d=1.04281e-287 t=975297
lai gong si 	來公司	c=5 d=4.6067e-248 t=975297
lai guo 	來過	c=6 d=1.9605e-67 t=975297
lai he 	來喝	c=1 d=1.10207e-202 t=975297
lai hui 	來回	c=31 d=0.00172081 t=975297
lai hui pao 	來回跑	c=3 d=3.93321e-23 t=975297
lai ji de 	來記得	c=1 d=4.77544e-276 t=975297
lai jiang 	來講	c=37 d=3.58114e-08 t=975297
lai jie 	來接	c=0 d=1.08087e-151 t=975297
lai jie ru 	來接入	c=1 d=1.08629e-150 t=975297
lai jing 	來京	c=1 d=0 t=975297
lai kan 	來看	c=156 d=0.00687406 t=975297
lai kan xia 	來看下	c=1 d=1.03032e-116 t=975297
lai ke 	來客	c=0 d=2.61695e-54 t=975297
